epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3549,0.99217,3.79059,1.42618,0.96509,0.10675,0.16069,0.13049,0.68005,2.12289,1.24201,9.73099e-05,9.73099e-05,9.73099e-05
2,30.2489,0.86955,2.29849,1.30103,0.44481,0.35518,0.29056,0.24405,0.69013,1.61389,1.19039,0.000189785,0.000189785,0.000189785
3,44.0342,0.84017,1.85021,1.25968,0.46098,0.49891,0.42976,0.36251,0.64043,1.369,1.14324,0.000276717,0.000276717,0.000276717
4,57.8589,0.80739,1.64685,1.2281,0.39568,0.69948,0.58238,0.513,0.63044,1.21158,1.12896,0.000269052,0.000269052,0.000269052
5,71.7631,0.79471,1.45175,1.21017,0.45706,0.7422,0.63563,0.55493,0.60596,1.05612,1.11895,0.000260736,0.000260736,0.000260736
6,85.658,0.7547,1.2966,1.1727,0.48102,0.74828,0.66083,0.58572,0.58216,0.95676,1.09864,0.00025242,0.00025242,0.00025242
7,99.7798,0.75807,1.23108,1.17499,0.58798,0.7169,0.73553,0.66327,0.58222,0.85469,1.0837,0.000244104,0.000244104,0.000244104
8,113.981,0.72447,1.14092,1.1547,0.68777,0.71018,0.76969,0.69527,0.55506,0.85885,1.0574,0.000235788,0.000235788,0.000235788
9,128.136,0.72519,1.09024,1.15995,0.68161,0.66906,0.75949,0.67679,0.56639,0.84264,1.07144,0.000227472,0.000227472,0.000227472
10,142.234,0.71394,1.0281,1.14921,0.691,0.74518,0.75498,0.67254,0.57313,0.83352,1.06945,0.000219156,0.000219156,0.000219156
11,156.424,0.69763,0.9698,1.13268,0.72849,0.66011,0.79103,0.71024,0.54204,0.75211,1.04901,0.00021084,0.00021084,0.00021084
12,170.521,0.71436,0.96664,1.13887,0.65332,0.79005,0.82451,0.73738,0.57305,0.68092,1.06725,0.000202524,0.000202524,0.000202524
13,184.756,0.67972,0.88616,1.11744,0.71564,0.82084,0.85536,0.77565,0.52991,0.64765,1.04528,0.000194208,0.000194208,0.000194208
14,199.019,0.68533,0.86099,1.12612,0.75196,0.79277,0.86067,0.78558,0.51561,0.63141,1.03302,0.000185892,0.000185892,0.000185892
15,213.489,0.66353,0.8272,1.11097,0.67931,0.78577,0.84882,0.76531,0.54186,0.65606,1.03832,0.000177576,0.000177576,0.000177576
16,227.715,0.6586,0.77695,1.10162,0.80057,0.83953,0.9066,0.82099,0.52012,0.56907,1.02649,0.00016926,0.00016926,0.00016926
17,242.002,0.65047,0.76482,1.09469,0.73541,0.83167,0.89602,0.81627,0.52804,0.60279,1.02947,0.000160944,0.000160944,0.000160944
18,256.408,0.64663,0.74339,1.09229,0.8012,0.80141,0.89647,0.8177,0.53008,0.56036,1.02833,0.000152628,0.000152628,0.000152628
19,270.967,0.62691,0.71784,1.08488,0.78222,0.89955,0.92927,0.8559,0.49903,0.51344,1.01379,0.000144312,0.000144312,0.000144312
20,285.269,0.62688,0.69443,1.08231,0.75126,0.84067,0.89936,0.82337,0.5131,0.53169,1.02027,0.000135996,0.000135996,0.000135996
21,299.606,0.61972,0.6773,1.07855,0.83611,0.8305,0.91291,0.84535,0.4985,0.5007,1.01419,0.00012768,0.00012768,0.00012768
22,314.051,0.62192,0.67569,1.07775,0.8212,0.85937,0.9204,0.85013,0.4892,0.48181,1.0025,0.000119364,0.000119364,0.000119364
23,328.382,0.61418,0.65281,1.07959,0.80977,0.86549,0.92638,0.85809,0.48433,0.47025,1.00027,0.000111048,0.000111048,0.000111048
24,342.825,0.60871,0.62772,1.06933,0.91566,0.81476,0.93665,0.87297,0.48751,0.449,1.0004,0.000102732,0.000102732,0.000102732
25,357.28,0.59244,0.61283,1.06905,0.87464,0.86808,0.9338,0.86378,0.48321,0.45199,1.00032,9.4416e-05,9.4416e-05,9.4416e-05
26,372.722,0.46555,0.51688,1.01424,0.8558,0.85153,0.93295,0.86052,0.49125,0.44113,1.00152,8.61e-05,8.61e-05,8.61e-05
27,387.053,0.45106,0.47864,1.00448,0.87051,0.8984,0.94951,0.88466,0.4814,0.41629,0.99591,7.7784e-05,7.7784e-05,7.7784e-05
28,401.368,0.44647,0.46015,0.99229,0.8796,0.87548,0.95121,0.88324,0.47112,0.41099,0.98772,6.9468e-05,6.9468e-05,6.9468e-05
29,415.632,0.43294,0.44713,0.98992,0.89891,0.90266,0.95381,0.88869,0.47527,0.39099,0.9881,6.1152e-05,6.1152e-05,6.1152e-05
30,429.985,0.42857,0.43461,0.98186,0.87421,0.91194,0.95136,0.88592,0.46725,0.38813,0.98272,5.2836e-05,5.2836e-05,5.2836e-05
31,444.285,0.42112,0.41951,0.97772,0.87402,0.91108,0.96018,0.89755,0.45913,0.38311,0.97486,4.452e-05,4.452e-05,4.452e-05
32,458.624,0.40993,0.40365,0.9683,0.85032,0.93987,0.95919,0.90074,0.46013,0.37458,0.97811,3.6204e-05,3.6204e-05,3.6204e-05
33,472.888,0.40466,0.39598,0.96449,0.907,0.90462,0.95352,0.89472,0.45408,0.37139,0.97278,2.7888e-05,2.7888e-05,2.7888e-05
34,487.314,0.39767,0.39122,0.96394,0.91298,0.91433,0.96214,0.90199,0.45046,0.36201,0.96863,1.9572e-05,1.9572e-05,1.9572e-05
35,501.668,0.39835,0.38939,0.9594,0.91053,0.90383,0.96178,0.90255,0.4512,0.35617,0.96907,1.1256e-05,1.1256e-05,1.1256e-05
