epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6656,0.99217,3.79059,1.42618,0.96509,0.10675,0.16069,0.13049,0.68005,2.12289,1.24201,9.73099e-05,9.73099e-05,9.73099e-05
2,30.8583,0.86951,2.29698,1.30227,0.3925,0.3409,0.29909,0.25335,0.69147,1.56587,1.21491,0.000190476,0.000190476,0.000190476
3,44.6962,0.84196,1.87025,1.2689,0.56919,0.41041,0.43793,0.3737,0.64566,1.32266,1.16362,0.000278791,0.000278791,0.000278791
4,58.5153,0.81204,1.6475,1.23181,0.45373,0.58802,0.54102,0.47193,0.63796,1.15873,1.15241,0.000272171,0.000272171,0.000272171
5,72.3739,0.79256,1.46909,1.21145,0.44027,0.70403,0.63317,0.55716,0.60315,1.05345,1.09728,0.000264894,0.000264894,0.000264894
6,86.1925,0.75093,1.3016,1.17484,0.53834,0.63366,0.68732,0.61032,0.58531,0.94477,1.09458,0.000257617,0.000257617,0.000257617
7,100.184,0.7693,1.2315,1.17797,0.60901,0.70183,0.72885,0.63707,0.60981,0.90051,1.12487,0.000250341,0.000250341,0.000250341
8,114.274,0.73143,1.13511,1.15724,0.71955,0.65251,0.73698,0.65409,0.57409,0.88036,1.0748,0.000243064,0.000243064,0.000243064
9,128.506,0.72528,1.07602,1.16272,0.62811,0.76357,0.7753,0.68963,0.56594,0.81398,1.07972,0.000235788,0.000235788,0.000235788
10,142.618,0.71464,1.03241,1.15185,0.66966,0.75256,0.74823,0.65634,0.59719,0.83453,1.09313,0.000228511,0.000228511,0.000228511
11,156.803,0.70359,0.96074,1.13529,0.74595,0.66016,0.78709,0.69575,0.54607,0.74681,1.05785,0.000221235,0.000221235,0.000221235
12,170.979,0.71374,0.95922,1.14083,0.71741,0.78293,0.82797,0.74056,0.57152,0.7103,1.0659,0.000213958,0.000213958,0.000213958
13,185.248,0.68401,0.88725,1.12167,0.62235,0.85575,0.84789,0.76672,0.53897,0.67465,1.0506,0.000206682,0.000206682,0.000206682
14,199.778,0.68573,0.87212,1.13221,0.66317,0.86122,0.88077,0.79969,0.51873,0.66385,1.03271,0.000199406,0.000199406,0.000199406
15,214.213,0.66466,0.82569,1.11359,0.83062,0.7429,0.86178,0.78455,0.54112,0.60115,1.03617,0.000192129,0.000192129,0.000192129
